height,lat,lon,el_density,foF1,foF2,foE
100.0,40.0,0.0,17909733092.96304,4.214881634968087,7.26780325415984,3.0106297392629195
110.0,40.0,0.0,50218205867.70369,4.214881634968087,7.26780325415984,3.0106297392629195
120.0,40.00000000000001,0.0,110454244797.4076,4.214881634968086,7.267803254159847,3.0106297392629187
130.0,40.00000000000001,0.0,118380228926.92181,4.214881634968086,7.267803254159847,3.0106297392629187
140.0,40.00000000000001,0.0,125629536450.4743,4.214881634968086,7.267803254159847,3.0106297392629187
150.0,40.00000000000001,0.0,134704547153.3779,4.214881634968086,7.267803254159847,3.0106297392629187
159.9999999999991,40.0,0.0,148915757483.79398,4.214881634968087,7.26780325415984,3.0106297392629195
169.9999999999991,40.0,0.0,171974791063.7851,4.214881634968087,7.26780325415984,3.0106297392629195
180.0,39.99999999999999,0.0,207707376248.42407,4.214881634968087,7.26780325415984,3.0106297392629195
190.0,39.99999999999999,0.0,258541779840.7278,4.214881634968087,7.26780325415984,3.0106297392629195
200.0,39.99999999999999,0.0,324123396453.6751,4.214881634968087,7.26780325415984,3.0106297392629195
210.0,40.0,0.0,405877864256.3622,4.214881634968087,7.26780325415984,3.0106297392629195
220.0,40.0,0.0,498266577824.84753,4.214881634968087,7.26780325415984,3.0106297392629195
230.0,40.0,0.0,584919127135.2054,4.214881634968087,7.26780325415984,3.0106297392629195
240.0,40.0,0.0,643494520041.5107,4.214881634968087,7.26780325415984,3.0106297392629195
250.0,40.00000000000001,0.0,654254747101.5199,4.214881634968086,7.267803254159847,3.0106297392629187
260.0,40.00000000000001,0.0,645692994741.0854,4.214881634968086,7.267803254159847,3.0106297392629187
269.9999999999991,40.0,0.0,628883740000.4827,4.214881634968087,7.26780325415984,3.0106297392629195
279.9999999999991,40.0,0.0,605682271937.1428,4.214881634968087,7.26780325415984,3.0106297392629195
289.9999999999991,40.0,0.0,577893117444.3762,4.214881634968087,7.26780325415984,3.0106297392629195
299.9999999999991,40.0,0.0,547140781625.72626,4.214881634968087,7.26780325415984,3.0106297392629195
309.9999999999991,40.00000000000001,0.0,514800654448.2839,4.214881634968086,7.267803254159847,3.0106297392629187
319.9999999999991,40.00000000000001,0.0,481977258440.2316,4.214881634968086,7.267803254159847,3.0106297392629187
330.0,40.0,0.0,449514695176.166,4.214881634968087,7.26780325415984,3.0106297392629195
340.0,40.0,0.0,418025687360.8882,4.214881634968087,7.26780325415984,3.0106297392629195
350.0,40.0,0.0,387928821708.4881,4.214881634968087,7.26780325415984,3.0106297392629195
360.0,40.0,0.0,359487014755.4609,4.214881634968087,7.26780325415984,3.0106297392629195
370.0,40.00000000000001,0.0,332843106560.9895,4.214881634968086,7.267803254159847,3.0106297392629187
379.9999999999991,39.99999999999999,0.0,308050598879.02606,4.214881634968087,7.26780325415984,3.0106297392629195
389.9999999999991,39.99999999999999,0.0,285098936388.5092,4.214881634968087,7.26780325415984,3.0106297392629195
399.9999999999991,40.0,0.0,263933536590.61868,4.214881634968087,7.26780325415984,3.0106297392629195
409.9999999999991,40.0,0.0,244471178284.06152,4.214881634968087,7.26780325415984,3.0106297392629195
419.9999999999991,40.0,0.0,226611506659.01224,4.214881634968087,7.26780325415984,3.0106297392629195
429.9999999999991,40.0,0.0,210245413448.03348,4.214881634968087,7.26780325415984,3.0106297392629195
439.9999999999991,40.00000000000001,0.0,195260976100.27005,4.214881634968086,7.267803254159847,3.0106297392629187
449.9999999999991,40.00000000000001,0.0,181547535707.51462,4.214881634968086,7.267803254159847,3.0106297392629187
459.9999999999991,40.00000000000001,0.0,168998385044.27832,4.214881634968086,7.267803254159847,3.0106297392629187
469.9999999999991,40.00000000000001,0.0,157512438608.42294,4.214881634968086,7.267803254159847,3.0106297392629187
480.0,40.0,0.0,146995171359.78302,4.214881634968087,7.26780325415984,3.0106297392629195
490.0,40.00000000000001,0.0,137359043074.29218,4.214881634968086,7.267803254159847,3.0106297392629187
500.0,39.99999999999999,0.0,128523569817.76111,4.214881634968087,7.26780325415984,3.0106297392629195
510.0,39.99999999999999,0.0,120415161036.0915,4.214881634968087,7.26780325415984,3.0106297392629195
520.0,40.0,0.0,112966807968.9524,4.214881634968087,7.26780325415984,3.0106297392629195
530.0,40.0,0.0,106117684454.14134,4.214881634968087,7.26780325415984,3.0106297392629195
539.9999999999991,40.0,0.0,99812702902.5973,4.214881634968087,7.26780325415984,3.0106297392629195
549.9999999999991,40.0,0.0,94002054802.91884,4.214881634968087,7.26780325415984,3.0106297392629195
560.0,40.00000000000001,0.0,88640755370.12468,4.214881634968086,7.267803254159847,3.0106297392629187
569.9999999999991,40.00000000000001,0.0,83688204956.73141,4.214881634968086,7.267803254159847,3.0106297392629187
580.0,40.00000000000001,0.0,79107774880.94188,4.214881634968086,7.267803254159847,3.0106297392629187
589.9999999999991,40.00000000000001,0.0,74866421855.398,4.214881634968086,7.267803254159847,3.0106297392629187
600.0,40.00000000000001,0.0,70934332814.21658,4.214881634968086,7.267803254159847,3.0106297392629187
609.9999999999991,40.0,0.0,67284600333.889404,4.214881634968087,7.26780325415984,3.0106297392629195
619.9999999999991,40.0,0.0,63892927801.76491,4.214881634968087,7.26780325415984,3.0106297392629195
630.0,39.99999999999999,0.0,60737362840.79837,4.214881634968087,7.26780325415984,3.0106297392629195
640.0,40.0,0.0,57798057131.614075,4.214881634968087,7.26780325415984,3.0106297392629195
650.0,40.0,0.0,55057050596.43228,4.214881634968087,7.26780325415984,3.0106297392629195
660.0,40.0,0.0,52498077861.860535,4.214881634968087,7.26780325415984,3.0106297392629195
