Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDE)
2017 191  2040   4208830.685   2334850.578   4171267.658      7.701   2.282   0.083   2.366  12.506
2017 191  2070   4208830.685   2334850.580   4171267.657      7.500   2.282   0.083   2.366  12.506
2017 191  2100   4208830.685   2334850.582   4171267.657      7.629   2.282   0.083   2.366  12.507
2017 191  2130   4208830.686   2334850.584   4171267.657      7.451   2.282   0.083   2.366  12.508
2017 191  2160   4208830.686   2334850.585   4171267.656      7.649   2.282   0.083   2.366  12.507
2017 191  2190   4208830.686   2334850.587   4171267.656      7.893   2.282   0.083   2.366  12.507
2017 191  2220   4208830.686   2334850.590   4171267.655      7.884   2.282   0.083   2.366  12.507
2017 191  2250   4208830.686   2334850.592   4171267.655      7.820   2.282   0.083   2.366  12.508
2017 191  2280   4208830.687   2334850.595   4171267.655      7.774   2.282   0.083   2.366  12.511
2017 191  2310   4208830.688   2334850.597   4171267.655      8.156   2.282   0.083   2.366  12.516
2017 191  2340   4208830.688   2334850.600   4171267.655      7.854   2.282   0.083   2.366  12.522
2017 191  2370   4208830.688   2334850.602   4171267.654      7.532   2.282   0.083   2.366  12.525
2017 191  2400   4208830.688   2334850.603   4171267.654      6.545   2.282   0.083   2.366  12.525
2017 191  2430   4208830.687   2334850.605   4171267.653      7.087   2.282   0.083   2.366  12.522
2017 191  2460   4208830.687   2334850.606   4171267.653      7.057   2.282   0.083   2.366  12.520
2017 191  2490   4208830.686   2334850.607   4171267.652      6.869   2.282   0.083   2.366  12.520
2017 191  2520   4208830.686   2334850.608   4171267.652      6.999   2.282   0.083   2.366  12.519
2017 191  2550   4208830.686   2334850.608   4171267.651      6.633   2.282   0.083   2.366  12.518
2017 191  2580   4208830.686   2334850.609   4171267.651      6.657   2.282   0.083   2.366  12.516
2017 191  2610   4208830.685   2334850.609   4171267.651      7.849   2.282   0.083   2.366  12.516
2017 191  2640   4208830.771   2334850.758   4171267.666      7.857   2.282   0.082   2.365  12.546
2017 191  2670   4208830.771   2334850.758   4171267.666      7.643   2.282   0.082   2.365  12.544
2017 191  2700   4208830.770   2334850.759   4171267.665      7.794   2.282   0.082   2.365  12.540
2017 191  2730   4208830.770   2334850.760   4171267.665      7.627   2.282   0.082   2.364  12.536
2017 191  2760   4208830.770   2334850.761   4171267.665      7.583   2.282   0.082   2.364  12.534
2017 191  2790   4208830.770   2334850.762   4171267.664      7.566   2.282   0.082   2.364  12.532
2017 191  2820   4208830.779   2334850.832   4171267.651      7.205   2.282   0.083   2.365  12.541
2017 191  2850   4208830.691   2334850.826   4171267.590      7.570   2.282   0.084   2.366  12.532
2017 191  2880   4208830.672   2334850.824   4171267.577      7.839   2.282   0.084   2.367  12.531
2017 191  2910   4208830.671   2334850.824   4171267.577      7.780   2.282   0.084   2.367  12.535
2017 191  2940   4208830.670   2334850.825   4171267.576      7.822   2.282   0.084   2.367  12.541
2017 191  2970   4208830.539   2334850.733   4171267.525      7.506   2.282   0.097   2.380  12.529
